all_repo_names,all_tool_names
IBA-paper-code,"# this file may be used to create an environment using:
,# $ conda create --name <env> --file <this file>
,# platform: linux-64
,_anaconda_depends=5.1.0=py36_2
,_libgcc_mutex=0.1=main
,absl-py=0.7.1=py36_0
,alabaster=0.7.12=py_0
,anaconda=custom=py36_1
,anaconda-client=1.7.2=py_0
,anaconda-project=0.8.3=py_0
,asn1crypto=0.24.0=py36_1003
,astor=0.7.1=py_0
,astroid=2.2.5=py36_0
,astropy=3.2.1=py36h516909a_0
,atomicwrites=1.3.0=py_0
,attrs=19.1.0=py_0
,babel=2.7.0=py_0
,backcall=0.1.0=py_0
,backports=1.0=py_2
,backports.os=0.1.1=py36_1001
,backports.shutil_get_terminal_size=1.0.0=py_3
,beautifulsoup4=4.8.0=py36_0
,binutils_impl_linux-64=2.31.1=h6176602_1
,binutils_linux-64=2.31.1=h6176602_8
,bitarray=1.0.1=py36h516909a_0
,bkcharts=0.2=py36_0
,blaze=0.11.3=py36_0
,bleach=3.1.0=py_0
,blosc=1.17.0=he1b5a44_0
,bokeh=1.3.4=py36_0
,boto=2.49.0=py_0
,bottleneck=1.2.1=py36h3010b51_1001
,bzip2=1.0.8=h516909a_0
,c-ares=1.15.0=h516909a_1001
,ca-certificates=2019.6.16=hecc5488_0
,cairo=1.16.0=hfb77d84_1002
,certifi=2019.6.16=py36_1
,cffi=1.12.3=py36h8022711_0
,chardet=3.0.4=py36_1003
,click=7.0=py_0
,cloudpickle=1.2.1=py_0
,clyent=1.2.2=py_1
,colorama=0.4.1=py_0
,contextlib2=0.5.5=py_2
,cryptography=2.7=py36h72c5cf5_0
,cuda100=1.0=0
,cudatoolkit=10.0.130=0
,cudnn=7.6.0=cuda10.0_0
,curl=7.65.3=hf8cf82a_0
,cycler=0.10.0=py_1
,cython=0.29.13=py36he1b5a44_0
,cytoolz=0.10.0=py36h516909a_0
,dask=2.3.0=py_0
,dask-core=2.3.0=py_0
,datashape=0.5.4=py_1
,dbus=1.13.6=he372182_0
,decorator=4.4.0=py_0
,defusedxml=0.5.0=py_1
,distributed=2.3.0=py_0
,docutils=0.15.2=py36_0
,entrypoints=0.3=py36_1000
,et_xmlfile=1.0.1=py_1001
,expat=2.2.5=he1b5a44_1003
,fastcache=1.1.0=py36h516909a_0
,ffmpeg=4.1.3=h167e202_0
,filelock=3.0.10=py_0
,flake8=3.7.8=py36_1
,flask=1.1.1=py_1
,flask-cors=3.0.8=py_0
,fontconfig=2.13.1=h86ecdb6_1001
,freetype=2.10.0=he983fc9_1
,fribidi=1.0.5=h516909a_1002
,fsspec=0.4.1=py_0
,gast=0.2.2=py_0
,gcc_impl_linux-64=7.3.0=habb00fd_1
,gcc_linux-64=7.3.0=h553295d_8
,get_terminal_size=1.0.0=haa9412d_0
,gettext=0.19.8.1=hc5be6a0_1002
,gevent=1.4.0=py36h14c3975_0
,giflib=5.1.9=h516909a_0
,glib=2.58.3=h6f030ca_1002
,glob2=0.7=py_0
,gmp=6.1.2=hf484d3e_1000
,gmpy2=2.1.0b1=py36h04dde30_0
,gnutls=3.6.5=hd3a4fd2_1002
,graphite2=1.3.13=hf484d3e_1000
,greenlet=0.4.15=py36h516909a_0
,grpcio=1.22.0=py36he9ae1f9_0
,gst-plugins-base=1.14.5=h0935bb2_0
,gstreamer=1.14.5=h36ae1b5_0
,gxx_impl_linux-64=7.3.0=hdf63c60_1
,gxx_linux-64=7.3.0=h553295d_8
,h5py=2.9.0=nompi_py36h513d04c_1104
,harfbuzz=2.4.0=h9f30f68_2
,hdf5=1.10.5=nompi_h3c11f04_1102
,heapdict=1.0.0=py36_1000
,html5lib=1.0.1=py_0
,icu=64.2=he1b5a44_0
,idna=2.8=py36_1000
,imageio=2.5.0=py36_0
,imagesize=1.1.0=py_0
,importlib_metadata=0.18=py36_0
,intel-openmp=2019.4=243
,ipykernel=5.1.2=py36h5ca1d4c_0
,ipython=7.7.0=py36h5ca1d4c_0
,ipython_genutils=0.2.0=py_1
,ipywidgets=7.5.1=py_0
,isort=4.3.21=py36_0
,itsdangerous=1.1.0=py_0
,jasper=1.900.1=h07fcdf6_1006
,jbig=2.1=h14c3975_2001
,jdcal=1.4.1=py_0
,jedi=0.15.1=py36_0
,jeepney=0.4.1=py_0
,jinja2=2.10.1=py_0
,joblib=0.13.2=py_0
,jpeg=9c=h14c3975_1001
,json5=0.8.5=py_0
,jsonschema=3.0.2=py36_0
,jupyter=1.0.0=py_2
,jupyter_client=5.3.1=py_0
,jupyter_console=6.0.0=py_0
,jupyter_core=4.4.0=py_0
,jupyterlab=1.0.6=py36_0
,jupyterlab_launcher=0.13.1=py_2
,jupyterlab_server=1.0.4=py_0
,keras=2.2.4=py36_1
,keras-applications=1.0.7=py_1
,keras-preprocessing=1.0.9=py_1
,keyring=19.0.2=py36_0
,kiwisolver=1.1.0=py36hc9558a2_0
,krb5=1.16.3=h05b26f9_1001
,lame=3.100=h14c3975_1001
,lazy-object-proxy=1.4.1=py36h516909a_0
,libblas=3.8.0=12_openblas
,libcblas=3.8.0=12_openblas
,libcurl=7.65.3=hda55be3_0
,libedit=3.1.20170329=hf8c457e_1001
,libffi=3.2.1=he1b5a44_1006
,libgcc-ng=9.1.0=hdf63c60_0
,libgfortran-ng=7.3.0=hdf63c60_0
,libgpuarray=0.7.6=h14c3975_1003
,libiconv=1.15=h516909a_1005
,liblapack=3.8.0=12_openblas
,liblapacke=3.8.0=12_openblas
,libopenblas=0.3.7=h6e990d7_1
,libpng=1.6.37=hed695b0_0
,libprotobuf=3.9.1=h8b12597_0
,libsodium=1.0.17=h516909a_0
,libssh2=1.8.2=h22169c7_2
,libstdcxx-ng=9.1.0=hdf63c60_0
,libtiff=4.0.10=h57b8799_1003
,libtool=2.4.6=h14c3975_1002
,libuuid=2.32.1=h14c3975_1000
,libuv=1.30.1=h516909a_0
,libwebp=1.0.2=h576950b_1
,libxcb=1.13=h14c3975_1002
,libxml2=2.9.9=hee79883_2
,libxslt=1.1.32=h31b3aaa_1004
,llvmlite=0.29.0=py36hfd453ef_1
,locket=0.2.0=py_2
,lxml=4.4.1=py36h7ec2d77_0
,lz4-c=1.8.3=he1b5a44_1001
,lzo=2.10=h14c3975_1000
,mako=1.1.0=py_0
,markdown=3.1.1=py_0
,markupsafe=1.1.1=py36h14c3975_0
,matplotlib=3.1.1=py36_1
,matplotlib-base=3.1.1=py36he7580a8_1
,mccabe=0.6.1=py_1
,mistune=0.8.4=py36h14c3975_1000
,mkl=2019.4=243
,mkl-service=2.1.0=py36h516909a_0
,mock=3.0.5=py36_0
,more-itertools=7.2.0=py_0
,mpc=1.1.0=hb20f59a_1006
,mpfr=4.0.2=ha14ba45_0
,mpmath=1.1.0=py_0
,msgpack-python=0.6.1=py36h6bb024c_0
,multipledispatch=0.6.0=py_0
,nbconvert=5.6.0=py_0
,nbformat=4.4.0=py_1
,ncurses=6.1=hf484d3e_1002
,nettle=3.4.1=h1bed415_1002
,networkx=2.3=py_0
,ninja=1.9.0=h6bb024c_0
,nltk=3.4.4=py_0
,nodejs=12.8.1=h10a4023_0
,nose=1.3.7=py36_1002
,notebook=6.0.0=py36_0
,numba=0.45.1=py36hb3f55d8_0
,numexpr=2.7.0=py36hb3f55d8_0
,numpy=1.17.0=py36h95a1406_0
,numpydoc=0.9.1=py_0
,odo=0.5.1=py_1
,olefile=0.46=py_0
,opencv=4.1.1=py36ha799480_1
,openh264=1.8.0=hdbcaa40_1000
,openpyxl=2.6.3=py_0
,openssl=1.1.1c=h516909a_0
,packaging=19.0=py_0
,pandas=0.25.0=py36hb3f55d8_0
,pandoc=2.7.3=0
,pandocfilters=1.4.2=py_1
,pango=1.42.4=ha030887_1
,parso=0.5.1=py_0
,partd=1.0.0=py_0
,patchelf=0.10=he1b5a44_0
,path.py=12.0.1=py_0
,pathlib2=2.3.4=py36_0
,patsy=0.5.1=py_0
,pcre=8.41=hf484d3e_1003
,pep8=1.7.1=py_0
,pexpect=4.7.0=py36_0
,pickleshare=0.7.5=py36_1000
,pillow=6.1.0=py36h6b7be26_1
,pip=19.2.2=py36_0
,pixman=0.38.0=h516909a_1003
,pkginfo=1.5.0.1=py_0
,pluggy=0.12.0=py_0
,ply=3.11=py_1
,prometheus_client=0.7.1=py_0
,prompt_toolkit=2.0.9=py_0
,protobuf=3.9.1=py36he1b5a44_0
,psutil=5.6.3=py36h516909a_0
,pthread-stubs=0.4=h14c3975_1001
,ptyprocess=0.6.0=py_1001
,py=1.8.0=py_0
,pycodestyle=2.5.0=py_0
,pycosat=0.6.3=py36h14c3975_1001
,pycparser=2.19=py36_1
,pycrypto=2.6.1=py36h14c3975_1002
,pycurl=7.43.0.2=py36h16ce93b_1
,pyflakes=2.1.1=py_0
,pygments=2.4.2=py_0
,pygpu=0.7.6=py36h3010b51_1000
,pylint=2.3.1=py36_0
,pymongo=3.8.0=py36he1b5a44_0
,pyodbc=4.0.27=py36he1b5a44_0
,pyopenssl=19.0.0=py36_0
,pyparsing=2.4.2=py_0
,pyqt=5.9.2=py36hcca6a23_2
,pyrsistent=0.15.4=py36h516909a_0
,pysocks=1.7.0=py36_0
,pytables=3.5.2=py36h9f153d1_2
,pytest=5.0.1=py36_0
,pytest-arraydiff=0.3=py_0
,pytest-astropy=0.5.0=py_0
,pytest-doctestplus=0.3.0=py_0
,pytest-flake8=1.0.4=py36_0
,pytest-openfiles=0.4.0=py_0
,pytest-remotedata=0.3.1=py_0
,python=3.6.7=h357f687_1005
,python-dateutil=2.8.0=py_0
,python-lmdb=0.96=py36he1b5a44_0
,pytorch=1.2.0=py3.6_cuda10.0.130_cudnn7.6.2_0
,pytz=2019.2=py_0
,pywavelets=1.0.3=py36hd352d35_1
,pyyaml=5.1.2=py36h516909a_0
,pyzmq=18.0.2=py36h1768529_2
,qt=5.9.7=h0c104cb_3
,qtawesome=0.6.0=py_0
,qtconsole=4.5.3=py_0
,qtpy=1.9.0=py_0
,readline=8.0=hf8c457e_0
,requests=2.22.0=py36_1
,rope=0.14.0=py_0
,ruamel_yaml=0.15.71=py36h14c3975_1000
,scikit-image=0.15.0=py36hb3f55d8_2
,scikit-learn=0.21.3=py36hcdab131_0
,scipy=1.3.1=py36h921218d_2
,seaborn=0.9.0=py_1
,secretstorage=3.1.1=py36_0
,send2trash=1.5.0=py_0
,setuptools=41.0.1=py36_0
,simplegeneric=0.8.1=py_1
,singledispatch=3.4.0.3=py36_1000
,sip=4.19.8=py36hf484d3e_1000
,six=1.12.0=py36_1000
,snowballstemmer=1.9.0=py_0
,sortedcollections=1.1.2=py_0
,sortedcontainers=2.1.0=py_0
,soupsieve=1.9.3=py36_0
,sphinx=2.2.0=py_0
,sphinxcontrib=1.0=py36_1
,sphinxcontrib-applehelp=1.0.1=py_0
,sphinxcontrib-devhelp=1.0.1=py_0
,sphinxcontrib-htmlhelp=1.0.2=py_0
,sphinxcontrib-jsmath=1.0.1=py_0
,sphinxcontrib-qthelp=1.0.2=py_0
,sphinxcontrib-serializinghtml=1.1.1=py_0
,sphinxcontrib-websupport=1.1.2=py_0
,spyder=3.3.6=py36_0
,spyder-kernels=0.5.1=py36_0
,sqlalchemy=1.3.7=py36h516909a_0
,sqlite=3.29.0=hcee41ef_0
,statsmodels=0.10.1=py36hc1659b7_0
,sympy=1.4=py36_0
,tblib=1.4.0=py_0
,tensorboard=1.13.1=py36_0
,tensorflow=1.13.1=py36h90a7d86_1
,tensorflow-estimator=1.13.0=py_0
,termcolor=1.1.0=py_2
,terminado=0.8.2=py36_0
,testpath=0.4.2=py_1001
,theano=1.0.4=py36hf484d3e_1000
,tk=8.6.9=hed695b0_1002
,toolz=0.10.0=py_0
,torchvision=0.4.0=py36_cu100
,tornado=6.0.3=py36h516909a_0
,tqdm=4.34.0=py_0
,traitlets=4.3.2=py36_1000
,typed-ast=1.4.0=py36h516909a_0
,typing=3.6.4=py36_0
,unicodecsv=0.14.1=py_1
,unixodbc=2.3.7=h227dcee_1000
,urllib3=1.25.3=py36_0
,wcwidth=0.1.7=py_1
,webencodings=0.5.1=py_1
,werkzeug=0.15.5=py_0
,wheel=0.33.6=py36_0
,widgetsnbextension=3.5.1=py36_0
,wrapt=1.11.2=py36h516909a_0
,wurlitzer=1.0.3=py36_0
,x264=1!152.20180806=h14c3975_0
,xlrd=1.2.0=py_0
,xlsxwriter=1.1.8=py_0
,xlwt=1.3.0=py_1
,xorg-kbproto=1.0.7=h14c3975_1002
,xorg-libice=1.0.10=h516909a_0
,xorg-libsm=1.2.3=h84519dc_1000
,xorg-libx11=1.6.8=h516909a_0
,xorg-libxau=1.0.9=h14c3975_0
,xorg-libxdmcp=1.1.3=h516909a_0
,xorg-libxext=1.3.4=h516909a_0
,xorg-libxrender=0.9.10=h516909a_1002
,xorg-renderproto=0.11.1=h14c3975_1002
,xorg-xextproto=7.3.0=h14c3975_1002
,xorg-xproto=7.0.31=h14c3975_1007
,xz=5.2.4=h14c3975_1001
,yaml=0.1.7=h14c3975_1001
,zeromq=4.3.2=he1b5a44_2
,zict=1.0.0=py_0
,zipp=0.5.2=py_0
,zlib=1.2.11=h516909a_1005
,zsh=5.6.2=hf8c457e_1000
,zstd=1.4.0=h3b9ef0a_0
"
PAC-confidence-set,"scipy==1.4.1
,numpy==1.18.3
,matplotlib==3.2.1
,torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,alarm==3.0
,heart==0.1.0
,otb==0.2.1
,wine==0.0.1
"
MAD,"numpy==1.18.3
,matplotlib==3.2.1
,pandas==1.0.3
,torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,scikit_image==0.16.2
,scipy==1.4.1
,efficientnet_pytorch==0.6.3
,flickrapi==2.4.0
,google_api_python_client==1.8.2
,pillow==7.1.2
,pretrainedmodels==0.7.4
,scikit_learn==0.22.2.post1
,skimage==0.0
"
attackbox,"matplotlib==3.2.1
,pytest==3.6.4
,scipy==1.4.1
,numpy==1.18.3
,torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,mock==4.0.2
,pillow==7.1.2
,randomgen==1.18.1
"
cophy,"torchvision==0.6.0+cu101
,numpy==1.18.3
,imageio==2.4.1
,opencv_python==4.1.2.30
,tqdm==4.38.0
,scikit_image==0.16.2
,matplotlib==3.2.1
,torch==1.5.0+cu101
,ipdb==0.13.2
,pillow==7.1.2
,pybullet==2.7.5
,skimage==0.0
"
FreeLB,"psutil==5.4.8
,h5py==2.10.0
,torch==1.5.0+cu101
,matplotlib==3.2.1
,packaging==20.3
,fastprogress==0.2.3
,tqdm==4.38.0
,tensorflow==2.2.0rc3
,numpy==1.18.3
,scipy==1.4.1
,ptvsd==5.0.0a12
,jieba==0.42.1
,regex==2019.12.20
,requests==2.23.0
,pyarrow==0.14.1
,filelock==3.0.12
,tensorflow_datasets==2.1.0
,boto3==1.12.47
,absl_py==0.9.0
,torchvision==0.6.0+cu101
,spacy==2.2.4
,botocore==1.15.47
,nltk==3.2.5
,torchtext==0.3.1
,absl==0.0
,apex==0.9.10dev
,colorama==0.4.3
,comet_ml==3.1.6
,fastapi==0.54.1
,fastbpe==0.1.0
,ftfy==5.7
,gitpython==3.1.1
,ipython==7.14.0
,mecab==0.996.2
,pillow==7.1.2
,pydantic==1.5.1
,pythainlp==2.1.4
,rouge==1.0.0
,sacrebleu==1.4.9
,sacremoses==0.0.41
,scikit_learn==0.22.2.post1
,sentencepiece==0.1.86
,seqeval==0.0.12
,soundfile==0.10.3.post1
,subword_nmt==0.3.7
,tensorboardx==2.0
,tokenizers==0.7.0
,torchaudio==0.5.0
,uvicorn==0.11.5
"
PlasmaML,"
"
habitat-api,"gym==0.10.9
,numpy>=1.16.1
,yacs>=0.1.5
,numpy-quaternion>=2019.3.18.14.33.20
,attrs>=19.1.0
,opencv-python>=3.3.0
,# visualization optional dependencies
,imageio>=2.2.0
,imageio-ffmpeg>=0.2.0
,scipy>=1.0.0
,tqdm>=4.0.0
,numba>=0.44.0
"
node,"torch>=1.1.0
,numpy>=0.13
,scipy>=1.2.0
,scikit-learn>=0.17
,catboost==0.12.2
,xgboost==0.81
,matplotlib
,tqdm
,tensorboardx
,pandas
,prefetch_generator
,https://github.com/facebookresearch/qhoptim/archive/master.zip
"
RidgeRegression,"tensorflow==2.2.0rc3
,keras==2.3.1
,scipy==1.4.1
,pandas==1.0.3
,numpy==1.18.3
,matplotlib==3.2.1
"
